whale_ID,sample_cm ,d15N,d13C,C_N_ratio
A,0,12.9,-17.7,3.8
A,1,12.8,-17.3,3.5
A,2,12.6,-17.5,3.5
A,3,12.4,-17.6,3.4
A,4,12.4,-17.3,3.4
A,5,12.3,-17.3,3.4
A,6,12.3,-17.2,3.5
A,7,11.9,-17.1,3.4
A,8,11.6,-17.1,3.4
A,9,11.7,-17,3.4
A,10,11.5,-17,3.4
A,11,11.8,-17,3.4
A,12,12.1,-16.9,3.4
A,13,12.4,-16.7,3.4
A,14,12.6,-16.5,3.4
A,15,12.7,-16.5,3.4
A,16,12.8,-16.5,3.4
A,17,12.6,-16.5,3.4
A,18,12.5,-16.5,3.4
A,19,12.4,-16.3,3.4
A,20,12.5,-16.3,3.4
A,21,12.6,-16.5,3.4
A,22,12.3,-16.9,3.4
A,23,12.1,-17,3.4
A,24,12,-17.3,3.4
A,25,12,-17,3.4
A,26,12.3,-16.7,3.4
A,27,12.5,-16.4,3.4
A,28,12.6,-16.3,3.4
A,29,12.6,-16.3,3.4
A,30,12.6,-16.3,3.4
A,31,12.4,-16.2,3.4
A,32,12.3,-16.3,3.4
A,33,12.1,-16.2,3.4
A,34,12.1,-16.4,3.4
A,35,12.2,-16.6,3.4
A,36,11.9,-16.7,3.4
A,37,11.3,-16.9,3.4
A,38,11.3,-17,3.4
A,39,11.5,-17.1,3.4
A,40,11.7,-16.9,3.4
B,0,13.3,-16.4,3.6
B,1,12.7,-17,3.8
B,2,11.2,-18,3.8
B,3,11.2,-17.4,3.8
B,4,10.9,-17.5,3.7
B,5,11.1,-17.6,3.7
B,6,11.5,-17.4,3.7
B,7,12.6,-17.3,3.6
B,8,13.8,-17,3.7
B,9,14.4,-16.8,3.7
B,10,14.2,-16.5,3.6
B,11,14.4,-16.3,3.6
B,12,14.6,-16.3,3.6
B,13,14.5,-16.2,3.6
B,14,14.2,-16.5,3.6
B,15,14,-16.8,3.6
B,16,13,-17,3.6
B,17,12.4,-17.1,3.6
B,18,12.5,-16.9,3.6
B,19,12.8,-17.1,3.6
B,20,13.5,-16.8,3.6
B,21,13.7,-16.9,3.6
B,22,14.5,-17.6,3.6
B,23,14.7,-17.2,3.7
B,24,14.9,-17,3.6
B,25,14.9,-16.9,3.7
B,26,14.7,-16.9,3.6
B,27,14.5,-16.7,3.6
B,28,14.5,-16.9,3.6
B,29,13.8,-16.8,3.6
B,30,13.2,-17,3.7
B,31,12.5,-17.6,3.6
B,32,12.6,-17.4,3.6
B,33,12.8,-17.4,3.6
B,34,12.8,-17.6,3.6
B,35,13.3,-17.5,3.6
B,36,13.6,-17.5,3.6
B,37,13.9,-17.2,3.7
B,38,13.9,-17.2,3.7
B,39,14.1,-17.3,3.6
B,40,14.1,-16.6,3.6
B,41,14,-17,3.6
B,42,13.8,-17.2,3.6
B,43,13.6,-16.8,3.6
B,44,13.2,-17.1,3.6
B,45,12.8,-16.8,3.6
B,46,12,-17.3,3.6
B,47,11.6,-17.7,3.6
B,48,11.1,-17.7,3.6
B,49,11.2,-17.6,3.6
B,50,11.6,-17.8,3.6
B,51,12.6,-17.2,3.6
B,52,13.2,-17,3.6
B,53,13.7,-17,3.6
B,54,13.8,-16.7,3.6
B,55,13.9,-16.7,3.6
B,56,13.8,-16.1,3.5
B,57,13.9,-16.1,3.5
B,58,13.9,-16.1,3.5
B,59,13.9,-16.2,3.5
B,60,13.8,-16.1,3.5
B,61,13.5,-16.3,3.5
B,62,12.7,-16.5,3.6
B,63,12.1,-16.7,3.5
B,64,12.4,-16.7,3.5
B,65,12.8,-16.7,3.5
B,66,13.4,-16.5,3.6
C,0,12.8,-17,3.5
C,1,13.2,-16.7,3.5
C,2,13.2,-16.6,3.5
C,3,13.4,-16.9,3.5
C,4,13.1,-17.1,3.5
C,5,12.7,-17.2,3.5
C,6,12.3,-17.3,3.5
C,7,12.3,-17.4,3.5
